model,K,topN,w_rel,w_div,w_novel,w_tail,cold_boost,hist_ref,val_Recall,val_NDCG,val_Coverage,val_LongTailShare,val_Novelty,seconds_val
HybridNCF-Rerank,10,200,0.8,0.05,0.03,0.11999999999999997,2.0,50,0.03857615894039735,0.019740780030932575,0.18213707501349163,0.09329470198675496,9.648510687898208,124.07476711273193
HybridNCF-Rerank,10,200,0.8,0.05,0.05,0.09999999999999996,2.0,50,0.038741721854304634,0.01977720408009055,0.18213707501349163,0.0832615894039735,9.64487544076675,133.02178835868835
HybridNCF-Rerank,10,200,0.8,0.05,0.08,0.06999999999999997,2.0,50,0.038741721854304634,0.019778919155532402,0.18402590393955748,0.06913907284768211,9.643634695175116,38.28415775299072
HybridNCF-Rerank,10,200,0.8,0.08,0.0,0.11999999999999995,2.0,50,0.03956953642384106,0.019921186514941763,0.18078791149487317,0.08400662251655629,9.601480551319433,37.435850620269775
HybridNCF-Rerank,10,200,0.8,0.08,0.03,0.08999999999999996,2.0,50,0.03956953642384106,0.02000411104489163,0.18132757690232057,0.07052980132450332,9.59867458005283,36.82637977600098
HybridNCF-Rerank,10,200,0.8,0.08,0.05,0.06999999999999995,2.0,50,0.03923841059602649,0.019886238540422665,0.18105774419859688,0.06230132450331126,9.599354306004727,36.876320362091064
HybridNCF-Rerank,10,200,0.8,0.08,0.08,0.03999999999999995,2.0,50,0.03890728476821192,0.019698124245992894,0.18105774419859688,0.049966887417218546,9.604990157560618,37.936471939086914
HybridNCF-Rerank,10,200,0.85,0.0,0.0,0.15000000000000002,2.0,50,0.0390728476821192,0.019783283567485054,0.18240690771721532,0.10031456953642384,9.639731110476085,37.01391792297363
HybridNCF-Rerank,10,200,0.85,0.0,0.03,0.12000000000000002,2.0,50,0.03923841059602649,0.019932746332038682,0.18213707501349163,0.08607615894039736,9.633225106875752,37.01854944229126
HybridNCF-Rerank,10,200,0.85,0.0,0.05,0.10000000000000002,2.0,50,0.039735099337748346,0.020115285218397755,0.18213707501349163,0.07700331125827814,9.631435823746727,40.707868814468384
HybridNCF-Rerank,10,200,0.85,0.0,0.08,0.07000000000000002,2.0,50,0.03956953642384106,0.01998407165747773,0.1829465731246627,0.06427152317880795,9.63335227909607,38.44373083114624
HybridNCF-Rerank,10,200,0.85,0.03,0.0,0.12000000000000002,2.0,50,0.040066225165562915,0.020154840968639703,0.17943874797625473,0.07786423841059603,9.589293421171048,38.89611840248108
HybridNCF-Rerank,10,200,0.85,0.03,0.03,0.09000000000000002,2.0,50,0.04039735099337748,0.02035356917259066,0.17943874797625473,0.06587748344370861,9.588593091001258,37.858150243759155
HybridNCF-Rerank,10,200,0.85,0.03,0.05,0.07000000000000002,2.0,50,0.0402317880794702,0.020330818202498668,0.17943874797625473,0.058195364238410596,9.590508964420351,36.819719076156616
HybridNCF-Rerank,10,200,0.85,0.03,0.08,0.04000000000000002,2.0,50,0.03940397350993378,0.0199772346506352,0.1799784133837021,0.0471523178807947,9.596227282562879,36.78752040863037
HybridNCF-Rerank,10,200,0.85,0.05,0.0,0.10000000000000002,2.0,50,0.040066225165562915,0.020165007553540733,0.17754991905018888,0.06554635761589404,9.562430163434787,38.67507362365723
HybridNCF-Rerank,10,200,0.85,0.05,0.03,0.07000000000000002,2.0,50,0.04039735099337748,0.020389283173166878,0.17862924986508366,0.054304635761589407,9.565022010895404,40.06926107406616
HybridNCF-Rerank,10,200,0.85,0.05,0.05,0.05000000000000002,2.0,50,0.03990066225165563,0.02026791410666737,0.17862924986508366,0.047715231788079474,9.570345747653748,40.17696571350098
HybridNCF-Rerank,10,200,0.85,0.05,0.08,0.020000000000000018,2.0,50,0.03923841059602649,0.020027169568852254,0.17943874797625473,0.038841059602649004,9.580092642776188,42.26497220993042
HybridNCF-Rerank,10,200,0.85,0.08,0.0,0.07000000000000002,2.0,50,0.0402317880794702,0.02017743245183577,0.1772800863464652,0.04922185430463576,9.528942457600976,39.18946814537048
HybridNCF-Rerank,10,200,0.85,0.08,0.03,0.04000000000000002,2.0,50,0.03956953642384106,0.02014247902188052,0.17862924986508366,0.04064569536423841,9.538562661828673,39.65350151062012
HybridNCF-Rerank,10,200,0.85,0.08,0.05,0.020000000000000018,2.0,50,0.03956953642384106,0.020104223627774913,0.17754991905018888,0.03543046357615894,9.54644965850806,39.989325523376465
HybridNCF-Rerank,10,200,0.9,0.0,0.0,0.09999999999999998,2.0,50,0.0402317880794702,0.020238471818857098,0.17808958445763626,0.061705298013245036,9.557364583816508,39.875935077667236
HybridNCF-Rerank,10,200,0.9,0.0,0.03,0.06999999999999998,2.0,50,0.04072847682119205,0.02046929559260532,0.17835941716135995,0.05149006622516556,9.560517074378392,40.20452547073364
HybridNCF-Rerank,10,200,0.9,0.0,0.05,0.049999999999999975,2.0,50,0.04056291390728477,0.020409419649695452,0.17754991905018888,0.045364238410596024,9.565229909172645,41.8874614238739
HybridNCF-Rerank,10,200,0.9,0.0,0.08,0.019999999999999976,2.0,50,0.040066225165562915,0.020182093473006518,0.17674042093901782,0.0369205298013245,9.5765136086046,39.30604314804077
HybridNCF-Rerank,10,200,0.9,0.03,0.0,0.06999999999999998,2.0,50,0.04039735099337748,0.020315687241762713,0.17539125742039935,0.04711920529801324,9.525614984484,39.39177060127258
HybridNCF-Rerank,10,200,0.9,0.03,0.03,0.03999999999999998,2.0,50,0.04056291390728477,0.02047780749554465,0.17647058823529413,0.039188741721854305,9.535461101772087,41.88789391517639
HybridNCF-Rerank,10,200,0.9,0.03,0.05,0.019999999999999976,2.0,50,0.04039735099337748,0.020444033435341184,0.17593092282784673,0.03443708609271523,9.543995217259425,39.565768003463745
HybridNCF-Rerank,10,200,0.9,0.05,0.0,0.049999999999999975,2.0,50,0.03990066225165563,0.020205019860950607,0.1743119266055046,0.039337748344370864,9.510143819685613,39.33313727378845
HybridNCF-Rerank,10,200,0.9,0.05,0.03,0.019999999999999976,2.0,50,0.04039735099337748,0.020508267434376337,0.1740420939017809,0.03235099337748344,9.522283195203704,39.86081624031067
HybridNCF-Rerank,10,200,0.9,0.08,0.0,0.019999999999999976,2.0,50,0.04039735099337748,0.020365611945844714,0.17161359956826766,0.029735099337748344,9.492430781741124,39.9071946144104
HybridNCF-Rerank,10,200,0.95,0.0,0.0,0.050000000000000044,2.0,50,0.04056291390728477,0.020402897378417134,0.17458175930922828,0.03817880794701987,9.510945684397416,40.012367725372314
HybridNCF-Rerank,10,200,0.95,0.0,0.03,0.020000000000000046,2.0,50,0.04072847682119205,0.020535840038616044,0.17512142471667566,0.03145695364238411,9.522149256075135,40.320897579193115
HybridNCF-Rerank,10,200,0.95,0.0,0.05,4.163336342344337e-17,2.0,50,0.040894039735099336,0.020599886196461126,0.1743119266055046,0.027334437086092716,9.530593119221448,39.177788734436035
HybridNCF-Rerank,10,200,0.95,0.03,0.0,0.020000000000000046,2.0,50,0.04072847682119205,0.020522681690886245,0.1708041014570966,0.02900662251655629,9.49257043877555,37.59896755218506
HybridNCF-Rerank,10,200,0.95,0.05,0.0,4.163336342344337e-17,2.0,50,0.04039735099337748,0.020475061311830956,0.16837560712358338,0.024072847682119206,9.482797102036693,39.83048343658447
