model,K,topN,w_rel,w_div,w_novel,w_tail,cold_boost,hist_ref,val_Recall,val_NDCG,val_Coverage,val_LongTailShare,val_Novelty,seconds_val
NGCF-Rerank,10,200,0.85,0.05,0.08,0.020000000000000018,2.0,50,0.07218543046357616,0.03534499263272914,0.5056664867781975,0.052350993377483446,9.832081377591331,114.1354911327362
NGCF-Rerank,10,200,0.85,0.08,0.0,0.07000000000000002,2.0,50,0.07235099337748345,0.035226238250127995,0.5086346465191581,0.06402317880794701,9.775409557863059,100.47256517410278
NGCF-Rerank,10,200,0.85,0.08,0.03,0.04000000000000002,2.0,50,0.07301324503311259,0.03549760028786414,0.500809498111171,0.054105960264900665,9.782121896058534,94.5676896572113
NGCF-Rerank,10,200,0.85,0.08,0.05,0.020000000000000018,2.0,50,0.07235099337748345,0.03538691097437513,0.4954128440366973,0.04816225165562914,9.790546511839914,114.77190208435059
NGCF-Rerank,10,200,0.9,0.0,0.0,0.09999999999999998,2.0,50,0.07152317880794702,0.03519537288416535,0.519158121964382,0.07821192052980132,9.812103734881727,116.86474013328552
NGCF-Rerank,10,200,0.9,0.0,0.03,0.06999999999999998,2.0,50,0.07268211920529802,0.03537524356189664,0.5116028062601188,0.06766556291390728,9.814986714609077,109.3716037273407
NGCF-Rerank,10,200,0.9,0.0,0.05,0.049999999999999975,2.0,50,0.0728476821192053,0.03556794278867587,0.5075553157042634,0.06059602649006623,9.818166699638356,97.07796359062195
NGCF-Rerank,10,200,0.9,0.0,0.08,0.019999999999999976,2.0,50,0.07201986754966887,0.03535408199603017,0.5010793308148948,0.051274834437086095,9.827890788469936,99.69413495063782
NGCF-Rerank,10,200,0.9,0.03,0.0,0.06999999999999998,2.0,50,0.07251655629139073,0.035394041357428345,0.5032379924446843,0.06177152317880795,9.772539028407481,118.93801712989807
NGCF-Rerank,10,200,0.9,0.03,0.03,0.03999999999999998,2.0,50,0.0728476821192053,0.035498566280840686,0.4962223421478683,0.05266556291390728,9.779002567628446,121.98076510429382
NGCF-Rerank,10,200,0.9,0.03,0.05,0.019999999999999976,2.0,50,0.07317880794701986,0.03566884671131415,0.4902860226659471,0.047317880794701984,9.786468407440738,99.37762022018433
NGCF-Rerank,10,200,0.9,0.05,0.0,0.049999999999999975,2.0,50,0.0728476821192053,0.03546260317672069,0.49352401511063143,0.052632450331125825,9.751057860579772,90.90653586387634
NGCF-Rerank,10,200,0.9,0.05,0.03,0.019999999999999976,2.0,50,0.07201986754966887,0.03536087958774113,0.4840798704803022,0.04445364238410596,9.759786806759683,120.17838621139526
NGCF-Rerank,10,200,0.9,0.08,0.0,0.019999999999999976,2.0,50,0.07317880794701986,0.03557688166709583,0.4773340528872099,0.04097682119205298,9.724358204181549,109.8495180606842
NGCF-Rerank,10,200,0.95,0.0,0.0,0.050000000000000044,2.0,50,0.07301324503311259,0.03558560057952273,0.48974635725849974,0.051572847682119206,9.750748290227218,104.56214380264282
NGCF-Rerank,10,200,0.95,0.0,0.03,0.020000000000000046,2.0,50,0.07317880794701986,0.03559849617854112,0.4819212088505127,0.0444205298013245,9.760646508182358,98.14408135414124
NGCF-Rerank,10,200,0.95,0.0,0.05,4.163336342344337e-17,2.0,50,0.07334437086092715,0.03572098552171965,0.478143550998381,0.03983443708609272,9.768662997663741,103.71352958679199
NGCF-Rerank,10,200,0.95,0.03,0.0,0.020000000000000046,2.0,50,0.07301324503311259,0.03557833957959614,0.4740960604425256,0.040794701986754965,9.725747450831713,97.04488968849182
NGCF-Rerank,10,200,0.95,0.05,0.0,4.163336342344337e-17,2.0,50,0.07301324503311259,0.035639936189924164,0.46465191581219645,0.03498344370860927,9.711167810728144,108.51100850105286
