model,K,topN,w_rel,w_div,w_novel,w_tail,cold_boost,hist_ref,val_Recall,val_NDCG,val_Coverage,val_LongTailShare,val_Novelty,seconds_val
LightGCN-Rerank,10,200,0.8,0.03,0.05,0.11999999999999995,2.0,50,0.073841059602649,0.03549795777671989,0.3804641122504048,0.042847682119205296,9.523109478045244,36.87426567077637
LightGCN-Rerank,10,200,0.8,0.03,0.08,0.08999999999999996,2.0,50,0.07450331125827815,0.03564227234710915,0.37560712358337833,0.03443708609271523,9.529592313889747,37.60381054878235
LightGCN-Rerank,10,200,0.8,0.05,0.0,0.14999999999999997,2.0,50,0.07317880794701986,0.035221592718248894,0.37992444684295734,0.04743377483443709,9.493629531982375,53.392852544784546
LightGCN-Rerank,10,200,0.8,0.05,0.03,0.11999999999999997,2.0,50,0.07400662251655629,0.035531435196671166,0.3750674581759309,0.03912251655629139,9.498473207502943,43.97968244552612
LightGCN-Rerank,10,200,0.8,0.05,0.05,0.09999999999999996,2.0,50,0.07350993377483443,0.035464403415225894,0.37182946573124664,0.03379139072847682,9.503096393040574,37.92539930343628
LightGCN-Rerank,10,200,0.8,0.05,0.08,0.06999999999999997,2.0,50,0.07483443708609272,0.03574410340754482,0.3675121424716676,0.0276158940397351,9.515315799974214,42.672852993011475
LightGCN-Rerank,10,200,0.8,0.08,0.0,0.11999999999999995,2.0,50,0.07317880794701986,0.0352464805560938,0.36886130599028605,0.03448675496688742,9.465464524600874,41.910537004470825
LightGCN-Rerank,10,200,0.8,0.08,0.03,0.08999999999999996,2.0,50,0.07301324503311259,0.03522858534819079,0.364543982730707,0.0280794701986755,9.476337029447944,40.76455998420715
LightGCN-Rerank,10,200,0.8,0.08,0.05,0.06999999999999995,2.0,50,0.07301324503311259,0.03520055623586959,0.3577981651376147,0.024105960264900663,9.483371791659462,40.04443311691284
LightGCN-Rerank,10,200,0.8,0.08,0.08,0.03999999999999995,2.0,50,0.073841059602649,0.03547241372754596,0.35860766324878574,0.019652317880794704,9.498571696604241,39.11442828178406
LightGCN-Rerank,10,200,0.85,0.0,0.0,0.15000000000000002,2.0,50,0.0728476821192053,0.03516548366229238,0.37641662169454937,0.04329470198675497,9.486268305920103,44.28600192070007
LightGCN-Rerank,10,200,0.85,0.0,0.03,0.12000000000000002,2.0,50,0.07417218543046358,0.03563580762288506,0.37155963302752293,0.03581125827814569,9.491148088394269,40.49469017982483
LightGCN-Rerank,10,200,0.85,0.0,0.05,0.10000000000000002,2.0,50,0.07417218543046358,0.035629621245322186,0.36778197517539124,0.031539735099337746,9.49669796637917,40.38032603263855
LightGCN-Rerank,10,200,0.85,0.0,0.08,0.07000000000000002,2.0,50,0.07417218543046358,0.035522205574509545,0.36481381543443064,0.02600993377483444,9.509234626478634,40.46249079704285
LightGCN-Rerank,10,200,0.85,0.03,0.0,0.12000000000000002,2.0,50,0.07334437086092715,0.03544286495437937,0.36562331354560174,0.031837748344370864,9.46059712600903,39.17408561706543
LightGCN-Rerank,10,200,0.85,0.03,0.03,0.09000000000000002,2.0,50,0.07400662251655629,0.03560498359305774,0.3591473286562331,0.026490066225165563,9.471273970530756,41.87947392463684
LightGCN-Rerank,10,200,0.85,0.03,0.05,0.07000000000000002,2.0,50,0.07417218543046358,0.03563940708319418,0.357528332433891,0.023013245033112584,9.47905992838058,42.376574993133545
LightGCN-Rerank,10,200,0.85,0.03,0.08,0.04000000000000002,2.0,50,0.07400662251655629,0.03559667375461307,0.35429033998920667,0.018973509933774835,9.494502272810735,44.02764678001404
LightGCN-Rerank,10,200,0.85,0.05,0.0,0.10000000000000002,2.0,50,0.07334437086092715,0.035404639685199926,0.357528332433891,0.026125827814569538,9.448432958826263,42.285038232803345
LightGCN-Rerank,10,200,0.85,0.05,0.03,0.07000000000000002,2.0,50,0.07367549668874172,0.03552820263216592,0.354020507285483,0.021639072847682118,9.462004326359072,40.69186353683472
LightGCN-Rerank,10,200,0.85,0.05,0.05,0.05000000000000002,2.0,50,0.07400662251655629,0.03566548692151478,0.35213167835941717,0.018874172185430464,9.470889326873895,41.0397424697876
LightGCN-Rerank,10,200,0.85,0.05,0.08,0.020000000000000018,2.0,50,0.07433774834437086,0.03570230492564983,0.3456556934700486,0.015447019867549669,9.487194588480476,42.297592878341675
LightGCN-Rerank,10,200,0.85,0.08,0.0,0.07000000000000002,2.0,50,0.07350993377483443,0.03544286197937947,0.3478143550998381,0.019470198675496687,9.43509108853426,45.27105712890625
LightGCN-Rerank,10,200,0.85,0.08,0.03,0.04000000000000002,2.0,50,0.07317880794701986,0.035365990347968945,0.34214786832164057,0.015811258278145696,9.450209159693527,44.5839569568634
LightGCN-Rerank,10,200,0.85,0.08,0.05,0.020000000000000018,2.0,50,0.07301324503311259,0.03537181960799919,0.33729087965461413,0.013940397350993377,9.461086485077896,44.19187068939209
LightGCN-Rerank,10,200,0.9,0.0,0.0,0.09999999999999998,2.0,50,0.07334437086092715,0.03541856253295857,0.3567188343227199,0.0252317880794702,9.448260406613382,43.08500957489014
LightGCN-Rerank,10,200,0.9,0.0,0.03,0.06999999999999998,2.0,50,0.07350993377483443,0.035486341577255914,0.3499730167296276,0.020695364238410598,9.459784098995792,40.66903209686279
LightGCN-Rerank,10,200,0.9,0.0,0.05,0.049999999999999975,2.0,50,0.07433774834437086,0.03572951142144855,0.3499730167296276,0.018427152317880793,9.468487426984275,38.79510712623596
LightGCN-Rerank,10,200,0.9,0.0,0.08,0.019999999999999976,2.0,50,0.073841059602649,0.03567039743559423,0.34376686454398275,0.015248344370860928,9.484422483907807,39.48391842842102
LightGCN-Rerank,10,200,0.9,0.03,0.0,0.06999999999999998,2.0,50,0.07301324503311259,0.03543730401455201,0.3472746896923907,0.01872516556291391,9.434526141865488,39.735995054244995
LightGCN-Rerank,10,200,0.9,0.03,0.03,0.03999999999999998,2.0,50,0.073841059602649,0.03563325345332772,0.33998920669185106,0.015629139072847683,9.449151448318384,41.4911994934082
LightGCN-Rerank,10,200,0.9,0.03,0.05,0.019999999999999976,2.0,50,0.07417218543046358,0.03581259298007706,0.33702104695089047,0.013956953642384105,9.459124335704995,39.719642639160156
LightGCN-Rerank,10,200,0.9,0.05,0.0,0.049999999999999975,2.0,50,0.07350993377483443,0.035561682098870534,0.33756071235833784,0.015629139072847683,9.42784729598437,39.55098342895508
LightGCN-Rerank,10,200,0.9,0.05,0.03,0.019999999999999976,2.0,50,0.07367549668874172,0.03562581888303693,0.3324338909875877,0.013178807947019868,9.444029075192477,38.82891917228699
LightGCN-Rerank,10,200,0.9,0.08,0.0,0.019999999999999976,2.0,50,0.0728476821192053,0.035387678695165375,0.32838640043173234,0.012235099337748344,9.421149258105837,38.80375909805298
LightGCN-Rerank,10,200,0.95,0.0,0.0,0.050000000000000044,2.0,50,0.07301324503311259,0.035379449825336834,0.3362115488397194,0.015314569536423841,9.42860533233105,38.910271406173706
LightGCN-Rerank,10,200,0.95,0.0,0.03,0.020000000000000046,2.0,50,0.07334437086092715,0.035538626265887045,0.332164058283864,0.013129139072847682,9.444020454848864,38.62346434593201
LightGCN-Rerank,10,200,0.95,0.0,0.05,4.163336342344337e-17,2.0,50,0.07400662251655629,0.03575507837693299,0.3316243928764166,0.011937086092715233,9.454269879938211,38.81508994102478
LightGCN-Rerank,10,200,0.95,0.03,0.0,0.020000000000000046,2.0,50,0.0728476821192053,0.035533704135585605,0.3273070696168376,0.01228476821192053,9.421886363605218,40.39440441131592
LightGCN-Rerank,10,200,0.95,0.05,0.0,4.163336342344337e-17,2.0,50,0.07350993377483443,0.03568123264797498,0.3211009174311927,0.010397350993377484,9.417836224203688,39.90331697463989
