model,K,topN,normalize,div_mode,anchor_L,rel_mode,w_rel,w_novelty,w_longtail,w_div,Recall@10,NDCG@10,Coverage@10,LongTailShare@10,Novelty@10,AvgPopularity@10,seconds
LightGCN-Rerank,10,200,minmax,max,0,raw,0.8,0.03,0.16999999999999993,0.0,0.06357615894039735,0.032380504479782315,0.3499730167296276,0.014850993377483444,9.502589587486343,1591.8046026490067,0.3749251365661621
LightGCN-Rerank,10,200,minmax,max,0,raw,0.8,0.05,0.1499999999999999,0.0,0.06357615894039735,0.03241185580485391,0.35267134376686454,0.015248344370860928,9.511769827896396,1584.0096523178809,0.3789093494415283
LightGCN-Rerank,10,200,minmax,max,0,raw,0.8,0.08,0.12,0.0,0.06274834437086092,0.03215143762334166,0.3572584997301673,0.015827814569536424,9.525199157260111,1572.0820198675497,0.3841125965118408
LightGCN-Rerank,10,200,minmax,max,0,raw,0.8,0.0,0.16999999999999993,0.03,0.06440397350993378,0.03248403949023082,0.3402590393955747,0.013625827814569537,9.476187835860726,1613.8396026490066,5.462751626968384
LightGCN-Rerank,10,200,minmax,max,0,raw,0.8,0.03,0.1399999999999999,0.03,0.06407284768211921,0.0323946380080852,0.34349703184025904,0.013956953642384105,9.488997406501644,1602.3939569536424,5.490348815917969
LightGCN-Rerank,10,200,minmax,max,0,raw,0.8,0.05,0.11999999999999988,0.03,0.06390728476821192,0.03249239199344273,0.34592552617377226,0.014271523178807947,9.497631594818948,1594.7868377483444,4.832143545150757
LightGCN-Rerank,10,200,minmax,max,0,raw,0.8,0.08,0.08999999999999997,0.03,0.06291390728476821,0.032204097506524254,0.35186184565569345,0.014917218543046357,9.511978186961041,1582.5005629139073,8.342061758041382
LightGCN-Rerank,10,200,minmax,max,0,raw,0.8,0.0,0.1499999999999999,0.05,0.06440397350993378,0.03242720535875537,0.33702104695089047,0.013013245033112584,9.468097442696426,1620.1524337748344,8.545725584030151
LightGCN-Rerank,10,200,minmax,max,0,raw,0.8,0.03,0.11999999999999988,0.05,0.06423841059602649,0.0324172150965676,0.34052887209929844,0.013543046357615895,9.480632616668348,1609.1612913907284,7.884775638580322
LightGCN-Rerank,10,200,minmax,max,0,raw,0.8,0.05,0.09999999999999987,0.05,0.06390728476821192,0.03234870476819716,0.34430652995143013,0.013758278145695364,9.489510760496783,1601.2540562913907,7.226516008377075
LightGCN-Rerank,10,200,minmax,max,0,raw,0.8,0.08,0.06999999999999995,0.05,0.06274834437086092,0.0321397884250839,0.3475445223961144,0.014188741721854305,9.50284437462194,1589.431821192053,7.250610589981079
LightGCN-Rerank,10,200,minmax,max,0,raw,0.8,0.0,0.12,0.08,0.06473509933774835,0.0325127750040412,0.33297355639503506,0.012317880794701986,9.456592539414665,1629.3840894039736,7.280477523803711
LightGCN-Rerank,10,200,minmax,max,0,raw,0.8,0.03,0.08999999999999997,0.08,0.06456953642384106,0.032512246659134665,0.33675121424716675,0.012798013245033112,9.468902066938135,1618.3835099337748,5.603574752807617
LightGCN-Rerank,10,200,minmax,max,0,raw,0.8,0.05,0.06999999999999995,0.08,0.06423841059602649,0.032419832486217603,0.33971937398812735,0.013079470198675497,9.477038315842483,1611.198559602649,6.199781894683838
LightGCN-Rerank,10,200,minmax,max,0,raw,0.8,0.08,0.040000000000000036,0.08,0.06390728476821192,0.032390945405763684,0.34295736643281166,0.013559602649006623,9.490915928992214,1598.8345529801325,6.862107276916504
LightGCN-Rerank,10,200,minmax,max,0,raw,0.85,0.0,0.15000000000000002,0.0,0.06440397350993378,0.03250513273625184,0.335671883432272,0.012798013245033112,9.46541117639731,1622.238046357616,1.0960044860839844
LightGCN-Rerank,10,200,minmax,max,0,raw,0.85,0.03,0.12,0.0,0.06473509933774835,0.03262788147485605,0.33971937398812735,0.013228476821192053,9.477695003345312,1611.3285927152317,1.167954683303833
LightGCN-Rerank,10,200,minmax,max,0,raw,0.85,0.05,0.09999999999999998,0.0,0.06473509933774835,0.0326578983313594,0.3410685375067458,0.01347682119205298,9.48556967908973,1604.3628476821193,1.1164557933807373
LightGCN-Rerank,10,200,minmax,max,0,raw,0.85,0.08,0.07000000000000006,0.0,0.06390728476821192,0.03253172009437609,0.3448461953588775,0.013973509933774834,9.498343645626345,1593.3103476821193,1.1651341915130615
LightGCN-Rerank,10,200,minmax,max,0,raw,0.85,0.0,0.12,0.03,0.06423841059602649,0.03237578545540348,0.3324338909875877,0.012235099337748344,9.455153263341511,1630.7111423841059,7.369247198104858
LightGCN-Rerank,10,200,minmax,max,0,raw,0.85,0.03,0.08999999999999997,0.03,0.06407284768211921,0.03235409125050223,0.33594171613599566,0.012665562913907285,9.466852900934535,1620.1332450331126,7.492638111114502
LightGCN-Rerank,10,200,minmax,max,0,raw,0.85,0.05,0.06999999999999995,0.03,0.06423841059602649,0.03246445886775685,0.3378305450620615,0.012897350993377483,9.474223384967702,1613.4877814569536,6.599034786224365
LightGCN-Rerank,10,200,minmax,max,0,raw,0.85,0.08,0.040000000000000036,0.03,0.06423841059602649,0.032513073765043,0.34052887209929844,0.013344370860927152,9.48648814657666,1602.7411258278146,6.887191295623779
LightGCN-Rerank,10,200,minmax,max,0,raw,0.85,0.0,0.09999999999999998,0.05,0.06473509933774835,0.032486555368625644,0.3302752293577982,0.011887417218543046,9.448824831286803,1635.877582781457,8.251221179962158
LightGCN-Rerank,10,200,minmax,max,0,raw,0.85,0.03,0.06999999999999995,0.05,0.06390728476821192,0.03226444633052824,0.33297355639503506,0.012268211920529801,9.45998419780605,1625.7198841059603,7.306732177734375
LightGCN-Rerank,10,200,minmax,max,0,raw,0.85,0.05,0.04999999999999993,0.05,0.06374172185430464,0.03233376915188608,0.3354020507285483,0.012533112582781458,9.467605583130918,1619.0334105960264,7.361110210418701
LightGCN-Rerank,10,200,minmax,max,0,raw,0.85,0.08,0.020000000000000018,0.05,0.06390728476821192,0.032435465274169864,0.3386400431732326,0.012963576158940397,9.47921759305411,1608.6023178807948,8.649976968765259
LightGCN-Rerank,10,200,minmax,max,0,raw,0.85,0.0,0.07000000000000006,0.08,0.06490066225165562,0.032529229680112466,0.3273070696168376,0.01152317880794702,9.439973815892706,1643.3826324503311,7.439628601074219
LightGCN-Rerank,10,200,minmax,max,0,raw,0.85,0.03,0.040000000000000036,0.08,0.06490066225165562,0.032478160608237924,0.3310847274689692,0.011788079470198675,9.450526809108178,1633.575331125828,7.995078086853027
LightGCN-Rerank,10,200,minmax,max,0,raw,0.85,0.05,0.020000000000000018,0.08,0.06473509933774835,0.032505089710999725,0.3324338909875877,0.012052980132450332,9.457905255500844,1626.989751655629,6.542525053024292
LightGCN-Rerank,10,200,minmax,max,0,raw,0.9,0.0,0.09999999999999998,0.0,0.06456953642384106,0.032395455286933855,0.33081489476524556,0.011953642384105961,9.448868003302062,1636.112930463576,1.019498348236084
LightGCN-Rerank,10,200,minmax,max,0,raw,0.9,0.03,0.06999999999999995,0.0,0.06456953642384106,0.03256436655800409,0.3332433890987588,0.012251655629139073,9.458705531161353,1627.0892218543047,1.0960712432861328
LightGCN-Rerank,10,200,minmax,max,0,raw,0.9,0.05,0.04999999999999993,0.0,0.06456953642384106,0.032525486984363826,0.33432271991365353,0.012400662251655628,9.46571025977861,1620.4661258278145,1.0384705066680908
LightGCN-Rerank,10,200,minmax,max,0,raw,0.9,0.08,0.020000000000000018,0.0,0.06440397350993378,0.032529836771647974,0.3364813815434431,0.01281456953642384,9.476271109723097,1611.1009437086093,1.0524897575378418
LightGCN-Rerank,10,200,minmax,max,0,raw,0.9,0.0,0.06999999999999995,0.03,0.06506622516556292,0.03256634566921939,0.32757690232056125,0.011556291390728477,9.44008516736378,1643.3416059602648,6.817274570465088
LightGCN-Rerank,10,200,minmax,max,0,raw,0.9,0.03,0.039999999999999925,0.03,0.06440397350993378,0.03237976099464273,0.33054506206152184,0.01183774834437086,9.449926035877885,1634.4451324503311,7.5196874141693115
LightGCN-Rerank,10,200,minmax,max,0,raw,0.9,0.05,0.019999999999999907,0.03,0.06423841059602649,0.03242597926312752,0.3324338909875877,0.012052980132450332,9.457122076378752,1627.8700827814569,6.463000297546387
LightGCN-Rerank,10,200,minmax,max,0,raw,0.9,0.0,0.04999999999999993,0.05,0.06490066225165562,0.03255273724556569,0.3256880733944954,0.011241721854304635,9.43403870912577,1648.3988741721855,6.698724269866943
LightGCN-Rerank,10,200,minmax,max,0,raw,0.9,0.03,0.019999999999999907,0.05,0.06440397350993378,0.03243907095204457,0.3291958985429034,0.011589403973509934,9.444511980157815,1638.8888907284768,6.561351537704468
LightGCN-Rerank,10,200,minmax,max,0,raw,0.9,0.05,0.0,0.05,0.06440397350993378,0.032347577016507964,0.33135456017269294,0.011705298013245033,9.450777557701464,1633.215811258278,6.665125370025635
LightGCN-Rerank,10,200,minmax,max,0,raw,0.9,0.0,0.020000000000000018,0.08,0.06490066225165562,0.03251986907277086,0.3229897463572585,0.010811258278145695,9.42536662985947,1655.6999503311258,6.819119930267334
LightGCN-Rerank,10,200,minmax,max,0,raw,0.95,0.0,0.050000000000000044,0.0,0.06506622516556292,0.032606224610372464,0.32676740420939016,0.011440397350993378,9.434664633353025,1648.110629139073,1.1442718505859375
LightGCN-Rerank,10,200,minmax,max,0,raw,0.95,0.03,0.020000000000000018,0.0,0.06473509933774835,0.032577137210520905,0.33054506206152184,0.01163907284768212,9.444182643843012,1639.3871523178807,1.11037015914917
LightGCN-Rerank,10,200,minmax,max,0,raw,0.95,0.05,0.0,0.0,0.06456953642384106,0.03244539722259954,0.3318942255801403,0.01183774834437086,9.450661961827057,1633.4841721854305,1.1843161582946777
LightGCN-Rerank,10,200,minmax,max,0,raw,0.95,0.0,0.020000000000000018,0.03,0.06456953642384106,0.03242699013584074,0.32433890987587694,0.010910596026490067,9.425906415696176,1655.4290562913907,6.719075679779053
LightGCN-Rerank,10,200,minmax,max,0,raw,0.95,0.0,0.0,0.05,0.06506622516556292,0.03256688085122744,0.3235294117647059,0.010711920529801324,9.421434057879921,1659.3064072847683,6.5383923053741455
NGCF-Rerank,10,200,minmax,max,0,raw,0.7,0.0,0.30000000000000004,0.0,0.06821192052980132,0.034414104113871274,0.5590933621154884,0.06584437086092715,9.92121224344961,1333.3740397350994,1.0997827053070068
NGCF-Rerank,10,200,minmax,max,0,raw,0.7,0.03,0.27,0.0,0.06821192052980132,0.03439870537740532,0.5582838640043173,0.06730132450331126,9.942896880566678,1316.0977649006622,1.1106595993041992
